,text,Type
0,"Marlin, a nervous and neurotic clownfish is heavily overprotective of his son Nemo, who only wants to explore the sea in its entirety. When Nemo gets caught by a scuba diver and taken away, it is up to Marlin to swallow his own fears and find Nemo. The ensuing search and rescue organized by the him is a mass effort by swimming and flying creatures of all sizes and personalities, such as a threesome of vegetarian sharks, a fish with short term memory and an aged turtle, all helping him realise the error of his ways in restricting himself to just his home.As charming as it is beautiful, Finding Nemo is a joy, both visually and cinematically. The characters are all so appealing and sweet that you want to hug each and every one of them, Nemo and Dory in particular. But the film transcends above just a generic animated film, for there are lessons to be learnt by it too. The film often tells a children's tale from an adult's point of view, with risky situations and emotional soul-searching putting stress on a disjointed family.The sea is brought to us in such a memorable and unique way that there is brilliance and beauty in every frame. The animation is of all time high for Pixar, and the sound mixing and editing are also to be credited, as they capture the heart of the sea creditably. But perhaps the best thing about the film is the musical score by Thomas Newman. He creates the essence of the sea, as well as the emotions felt by the fish throughout. Note the masterwork that occurs as an upbeat, jovial number quickly escalates into something darker in a matter of minutes. In short, the music is superb.The voice cast are capable and cannily chosen, from young Alexander Gould as the naأ¯ve Nemo, as well as Albert Brooks as the bumbling Marlin. But the star of the show is Ellen DeGeneres as Dory. As the forgetful but caring fish, she is sweet and soulful, and provides much of the comedy of the film. But the humour is also provided by the great script, which delivers a potentially dull story with wit and soul, and shies away from the sentimentality that could so easily arise of a Disney film. And the jokes, what jokes آ– from satire, spoof and slapstick, they'll be a one-liner for everybody here.Gorgeous to look at and utterly adorable, Finding Nemo sets the standard for how animated movies should being terms of entertainment value as well as story and themes آ– ending with the touching, thought-provoking message of how too much protectiveness on the parent's side will repel, but, no matter how independent a child (or fish) believes themselves to be, they'll always need their parents.",positive
1,"Yes you read that correctly.Finding Nemo had brilliant, breathtaking underwater scenes that blow your mind!! Characters that you connect with, that have emotion, style and humour. The soundtrack is perfect to boot. Honestly what more could you ask for? In glorious 4K HDR with vibrant Dolby Atmos it gives this iconic classic a whole new life!!",positive
2,"I didn't see this movie until it came out on DVD. My family and I don't go to the movies very often, mostly because there's hardly anything worth seeing.But this movie was absolutely flawless. The voice cast was super. The voice of Nemo is Alexander Gould, who is 11 years old now. I saw his picture, and I really like his smile.""Finding Nemo"" is a classic. It'a among my favorite movies, and is a movie everyone should see. Unlike about 96% of movies, this movie is Rated ""G"", and can be viewed by children. There might be a few moments when it gets ""scary,"" but they soon turn into comedy.Watch ""Finding Nemo"" and I think you'll be a happier person by the end of the movie!My Score: 10/10.",positive
3,"Can Pixar and Disney miss with a film? Both Toy Story's, A Bugs Life, Monster's Inc., Finding Nemo, and The Incredibles. These movies are instant classics.The movie in focus is Finding Nemo, a story of a clown fish named Marlin (voiced by Albert Brooks), trying to find his son Nemo who was taken away by scuba divers. With the help of a fish named Dory (Ellen Degeneres)Marlin bumps into on his journey, they set out on finding Nemo. The only problem is that Dory suffers from short-term memory loss. She can't remember anything except her name. It's sad but brings a lot of comedy to the movie.Along the way they meet some priceless characters like Crush (voiced by writer/director Andrew Stanton), the thrill seeking sea turtle. They also encounter a trio of friendly sharks, Bruce, Anchor, and Chum. They have sworn to never eat a fish again. They also run into some potentially deadly situations with an ugly deep sea fish, also a huge swarm of jellyfish, and a whale. Marlin and Dory must tough it out and make it to find Nemo.Meanwhile, Nemo is now the new addition to an Australian dentist's office aquarium. There he meets some interesting characters. Peach the starfish, Bloat the blowfish, and more sea dwellers. There Nemo tries to fit in, becoming a member of the tank named ""Shark Bait"". He tries to help out Gill (William Defoe) with his plan to escape from the tank and get everyone out. Nemo must come through in order to see his father ever again. A local pelican named Nigel (Geoffrey Rush) also tries to help out in the escape. Word has spread around the world of Marlin's trip to find his son, reaching Nigel.FInding Nemo is an instant classic. With great lines and unforgettable characters, this movie is a delight. The animation itself is remarkable. It's as though the fish are really swimming. You can even see particles floating in the water. Light shines through and currents make the fish and surrounding react. The animators have done their homework for this picture.This movie is quite an experience. It is a film the whole family can enjoy for years to come. It is a timeless adventure that people can enjoy. Don't let this film drift out to sea...",positive
4,"Never, and I mean, never, in my entire life, has a movie effect me the same way Finding Nemo did. It's the best movie I've EVER seen, and I know I say that about alot movie, but I actually mean it this time. Never, did I ever come out of a theater after seeing a movie smile for the rest of the night. The movie just completely blew me away. I knew it was going to be good, but I had no clue what was in store for me when I saw it opening night. This movie is a work of pure genius. The animation is just beautiful, acting is awesome, the music fit everything that was going on. I could go on and on with this list, but I think I'll stop there. What I liked mostly about this movie was that it didn't lack anything at all. There was just the right amount of comedy, drama, suspense/action, and even romance. And it all blended together beautifully. This is why I gave this movie a full 10. Believe, me if I could give it more, I would.",positive
5,Finding Nemo is a very good movie and is really rewatchable! The characters are great and the story is heartwarming. The film is never boring and brings constant laughs for everyone! I highly recommend this film!,positive
6,"I loved this film, loved everything about it, it's colourful and entertaining and funny and sad and everything else you could wish for in an animated film. I myself am a collector of banned films, video nasties, so bad they're good films, gore-a-plenty etc etc, but I have watched Finding Nemo more than any other film I own. And I can TOTALLY relate to Dory :oDI loved this film, loved everything about it, it's colourful and entertaining and funny and sad and everything else you could wish for in an animated film. I myself am a collector of banned films, video nasties, so bad they're good films, gore-a-plenty etc etc, but I have watched Finding Nemo more than any other film I own. And I can TOTALLY relate to Dory :oD",positive
7,"As charming as it is beautiful, Andrew Stanton (and co-director Lee Unkrich)'s 'Finding Nemo' is a joy, both visually and cinematically. It is a brilliantly animated masterpiece with lots of humor that actually works and a plot that warms your heart from time to time. The sea is brought to us in such a memorable and unique way that there is excellence and beauty in every frame. Gorgeous to look at and utterly adorable. All the characters are vibrant with Disney charm, but Dory, the comic relief, probably one of the funniest Disney characters ever written and superbly voiced by Ellen DeGeneres. A delight from start to finish.",positive
8,"""Finding Nemo"" is a wonderful animated adventure movie that simply is irresistible for young as well as older persons.The most excellent thing about ""Finding Nemo"" is the perfect timing, just like in ""Monsters, Inc"" the jokes are extremely well placed in a quick pace and are good for more then just a few laughs.As for Nemo, he's inside a fish tank in a dentist office where he meets with characters that have been capture by the dentist; the leader of the pack is Gil (Willem Defoe of Spider-Man) who has been trying to free a bunch of sea-animals and with Nemo, they have a chance.""Finding Nemo"" is funny and touching where like any other film, where audiences get to learn a lesson about letting go of their young ones as they go out into the world, but also have a good time.Irresistible movie for the whole family with great jokes and lines and some memorable characters and situations.",positive
9,"Pixar has made some of the enjoyable films in the past years: The Toy Story films, Monsters, Inc., and A Bug's Life to name a few. What makes these films interesting is the designs of the films as if they look identical to real life; now the creators have made underwater more realistic than ever in ""Finding Nemo"" where the waves of the water seem to have life of its own.""Finding Nemo"" is a story of a clown fish name Marlin (Albert Brooks) who takes on the responsibility of his young son Nemo after the mother and the babies were killed off screen. Now as a single parent, Marlin worries about everything that his young son does, even when he goes off to school for the first day.There is a universal moment in about every Pixar movie where there is always a human nature to relate towards the animated films; with Marlin's parental worries as a single father, most of the dads in the audiences can relate to him, especially when Nemo is kidnapped by a sea diver after getting near a boat.Marlin goes through the sea of Australia where he meets with a blue coral fish name Dory (Ellen DeGeneres) who has STM (Short Term Memory) where she can remember things and than forget until the final moment. They go on adventures from escaping sharks, getting sting by jellyfish, swimming with turtles and going inside a whale's mouth.As for Nemo, he's inside a fish tank in a dentist office where he meets with characters that have been capture by the dentist; the leader of the pack is Gil (Willem Defoe of Spider-Man) who has been trying to free a bunch of sea-animals and with Nemo, they have a chance.""Finding Nemo"" is funny and touching where like any other film, where audiences get to learn a lesson about letting go of their young ones as they go out into the world, but also have a good time.",positive
